age_part,sex_part,age_cnt,sex_cnt,y,n,y_grp,s,m
0,F,81,M,0.0,5.0,5.0,1.0,0.0
0,F,81,F,0.0,5.0,5.0,1.0,0.0
0,F,82,M,0.0,5.0,5.0,1.0,0.0
0,F,82,F,0.0,5.0,5.0,1.0,0.0
0,F,83,M,0.0,5.0,5.0,1.0,0.0
0,F,83,F,0.0,5.0,5.0,1.0,0.0
0,F,84,M,0.0,5.0,5.0,1.0,0.0
0,F,84,F,0.0,5.0,5.0,1.0,0.0
1,M,0,M,0.0,6.0,52.0,1.0,0.0
1,M,0,F,0.0,6.0,52.0,1.0,0.0
1,M,1,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,1,F,4.0,6.0,52.0,0.07142857142857142,9.333333333333334
1,M,2,M,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,2,F,0.0,6.0,52.0,1.0,0.0
1,M,3,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,3,F,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,4,M,0.0,6.0,52.0,1.0,0.0
1,M,4,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,5,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,5,F,3.0,6.0,52.0,0.05454545454545454,9.166666666666668
1,M,6,M,0.0,6.0,52.0,1.0,0.0
1,M,6,F,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,7,M,0.0,6.0,52.0,1.0,0.0
1,M,7,F,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,8,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,8,F,0.0,6.0,52.0,1.0,0.0
1,M,9,M,0.0,6.0,52.0,1.0,0.0
1,M,9,F,0.0,6.0,52.0,1.0,0.0
1,M,10,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,10,F,0.0,6.0,52.0,1.0,0.0
1,M,11,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,11,F,0.0,6.0,52.0,1.0,0.0
1,M,12,M,0.0,6.0,52.0,1.0,0.0
1,M,12,F,0.0,6.0,52.0,1.0,0.0
1,M,13,M,0.0,6.0,52.0,1.0,0.0
1,M,13,F,0.0,6.0,52.0,1.0,0.0
1,M,14,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,14,F,0.0,6.0,52.0,1.0,0.0
1,M,15,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,15,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,16,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,16,F,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,17,M,0.0,6.0,52.0,1.0,0.0
1,M,17,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,18,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,18,F,0.0,6.0,52.0,1.0,0.0
1,M,19,M,0.0,6.0,52.0,1.0,0.0
1,M,19,F,3.0,6.0,52.0,0.05454545454545454,9.166666666666668
1,M,20,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,20,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,21,M,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,21,F,0.0,6.0,52.0,1.0,0.0
